"CTstrict","predicted.celltype.l2","orig.ident","n"
"IGH.100.IGHV4-39_NA.NA","B naive","P1042MED",1
"IGH.1000.IGHV1-18_NA.NA","B naive","P1043MED",1
"IGH.1001.IGHV3-11_IGLC:Cluster.20.IGKV3-15","B intermediate","P1043MED",1
"IGH.1003.IGHV1-2_NA.NA","B naive","P1043MED",1
"IGH.1004.IGHV3-21_NA.NA","B intermediate","P1043MED",1
"IGH.1005.IGHV1-2_NA.NA","B naive","P1043MED",1
"IGH.1006.IGHV1-58_IGLC:Cluster.19.IGKV3-11","B naive","P1043MED",1
"IGH.1007.IGHV3-23_IGLC:Cluster.20.IGKV3-15","B naive","P1043MED",1
"IGH.1008.IGHV3-23_IGLC:Cluster.16.IGKV2D-28","B intermediate","P1043MED",1
"IGH.1009.IGHV4-34_IGLC:Cluster.29.IGLV2-11","B naive","P1043MED",1
"IGH.1010.IGHV3-33_NA.NA","B naive","P1043MED",1
"IGH.1013.IGHV3-13_NA.NA","B naive","P1043MED",1
"IGH.1014.IGHV1-58_IGLC:Cluster.38.IGLV3-25","B naive","P1043MED",1
"IGH.1016.IGHV4-34_IGLC:Cluster.19.IGKV3-11","B naive","P1043MED",1
"IGH.1017.IGHV4-4_NA.NA","B naive","P1043MED",1
"IGH.1018.IGHV3-33_IGLC:Cluster.19.IGKV3-11","B naive","P1043MED",1
"IGH.1019.IGHV4-39_IGLC:Cluster.13.IGKV1D-39","B intermediate","P1043MED",1
"IGH.102.IGHV4-34_IGLC:Cluster.5.IGKV1-9","B naive","P1042MED",1
"IGH.1020.IGHV1-2_IGLC:Cluster.21.IGKV3-20","B naive","P1043MED",1
"IGH.1021.IGHV4-39_IGLC:Cluster.40.IGLV5-45","B intermediate","P1043MED",1
"IGH.1023.IGHV1-18_IGLC:Cluster.1.IGKV1-5","B naive","P1043MED",1
"IGH.1024.IGHV3-33_IGLC:Cluster.13.IGKV1D-39","B naive","P1043MED",1
"IGH.1025.IGHV1-18_IGLC:Cluster.23.IGKV4-1","B naive","P1043MED",1
"IGH.1026.IGHV3-23_IGLC:Cluster.1.IGKV1-16","B naive","P1043MED",1
"IGH.1028.IGHV3-33_NA.NA","B naive","P1043MED",1
"IGH.1029.IGHV3-48_IGLC:Cluster.3.IGKV1-6","B naive","P1043MED",1
"IGH.1030.IGHV1-18_IGLC:Cluster.7.IGKV1-12","B naive","P1043MED",1
"IGH.1031.IGHV1-2_NA.NA","B intermediate","P1043MED",1
"IGH.1032.IGHV1-46_IGLC:Cluster.19.IGKV3-11","B naive","P1043MED",1
"IGH.1033.IGHV1-3_NA.NA","B naive","P1043MED",1
"IGH.1034.IGHV5-51_IGLC:Cluster.21.IGKV3-20","B naive","P1043MED",1
"IGH.1038.IGHV3-11_IGLC:Cluster.19.IGKV3-11","B naive","P1043MED",1
"IGH.1039.IGHV4-39_IGLC:Cluster.19.IGKV3-11","B naive","P1043MED",1
"IGH.104.IGHV1-69-2_NA.NA","B naive","P1042MED",1
"IGH.1042.IGHV3-15_NA.NA","B naive","P1043MED",1
"IGH.1045.IGHV4-59_IGLC:Cluster.1.IGKV1-5","B naive","P1043MED",1
"IGH.1049.IGHV1-3_NA.NA","B naive","P1043MED",1
"IGH.105.IGHV3-15_IGLC:Cluster.19.IGKV3-11","B naive","P1042MED",1
