"CTgene","predicted.celltype.l2","orig.ident","n"
"NA_TRBV10-1.NA.TRBJ1-3.TRBC1","CD4 Proliferating","JLKCD3",1
"NA_TRBV10-1.NA.TRBJ1-5.TRBC1","MAIT","JLKCD3",1
"NA_TRBV10-1.NA.TRBJ1-5.TRBC1","gdT","JLKMED",3
"NA_TRBV10-1.NA.TRBJ2-3.TRBC2","CD4 TCM","JLKMED",1
"NA_TRBV10-1.NA.TRBJ2-5.TRBC2","CD4 TCM","JLKCD3",1
"NA_TRBV10-1.TRBD1.TRBJ2-2.TRBC2","CD8 Naive","JLKCD3",1
"NA_TRBV10-1.TRBD2.TRBJ2-4.TRBC2","CD4 TCM","JLKMED",1
"NA_TRBV10-2.NA.TRBJ2-1.TRBC2","CD4 TCM","P1043MED",1
"NA_TRBV10-2.NA.TRBJ2-1.TRBC2","CD8 TEM","P1042HIV",1
"NA_TRBV10-2.NA.TRBJ2-7.TRBC2","CD4 TCM","P1043CD3",1
"NA_TRBV10-2.NA.TRBJ2-7.TRBC2","CD4 TCM","P1043MED",1
"NA_TRBV10-2.NA.TRBJ2-7.TRBC2","CD8 Naive","P1043MED",1
"NA_TRBV10-2.TRBD1.TRBJ2-5.TRBC2","CD4 TCM","P1043CD3",1
"NA_TRBV10-2.TRBD2.TRBJ2-3.TRBC2","CD4 TCM","P1042CD3",1
"NA_TRBV10-2.TRBD2.TRBJ2-5.TRBC2","CD4 Naive","P1043CD3",1
"NA_TRBV10-2.TRBD2.TRBJ2-5.TRBC2","CD8 TEM","P1043HIV",1
"NA_TRBV10-3.NA.TRBJ1-1.TRBC1","CD4 Naive","P1042HIV",1
"NA_TRBV10-3.NA.TRBJ1-1.TRBC1","CD4 Proliferating","P1043CD3",1
"NA_TRBV10-3.NA.TRBJ1-1.TRBC1","CD4 TCM","JLKCD3",1
"NA_TRBV10-3.NA.TRBJ1-1.TRBC1","CD4 TCM","P1042HIV",1
"NA_TRBV10-3.NA.TRBJ1-1.TRBC1","CD4 TCM","P1042MED",1
"NA_TRBV10-3.NA.TRBJ1-1.TRBC1","CD4 TCM","P1043CD3",2
"NA_TRBV10-3.NA.TRBJ1-1.TRBC1","CD4 TCM","P1043HIV",3
"NA_TRBV10-3.NA.TRBJ1-1.TRBC1","CD8 Naive","P1042HIV",1
"NA_TRBV10-3.NA.TRBJ1-1.TRBC1","CD8 TEM","P1043HIV",1
"NA_TRBV10-3.NA.TRBJ1-1.TRBC1","NK_CD56bright","P1043MED",1
"NA_TRBV10-3.NA.TRBJ1-2.TRBC1","CD4 Naive","JLKMED",1
"NA_TRBV10-3.NA.TRBJ1-2.TRBC1","CD4 Naive","P1043HIV",1
"NA_TRBV10-3.NA.TRBJ1-2.TRBC1","CD4 TCM","P1042HIV",1
"NA_TRBV10-3.NA.TRBJ1-2.TRBC1","CD4 TCM","P1042MED",1
