"CTgene","predicted.celltype.l2","orig.ident","n"
"IGHV1-18.IGHD1-1.IGHJ4.IGHM_IGKV1-27.IGKJ2.IGKC","B intermediate","P1043HIV",1
"IGHV1-18.IGHD1-26.IGHJ3.IGHM_IGKV2D-28.IGKJ1.IGKC","B naive","P1042HIV",1
"IGHV1-18.IGHD1-7.IGHJ5.IGHM_NA","CD4 TCM","P1043CD3",1
"IGHV1-18.IGHD2-15.IGHJ1.IGHM_IGKV3-15.IGKJ5.IGKC","B intermediate","P1042MED",1
"IGHV1-18.IGHD2-15.IGHJ4.IGHM_IGLV2-11.IGLJ7.IGLC1","B naive","P1042HIV",1
"IGHV1-18.IGHD2-15.IGHJ5.IGHM_IGKV3-20.IGKJ2.IGKC","B naive","P1043MED",1
"IGHV1-18.IGHD2-2.IGHJ4.IGHM_IGKV3-11.IGKJ4.IGKC","B naive","P1043HIV",1
"IGHV1-18.IGHD2-2.IGHJ4.IGHM_IGLV2-11.IGLJ7.IGLC1","B memory","P1043CD3",1
"IGHV1-18.IGHD2-8.IGHJ3.IGHM_IGLV2-18.IGLJ7.IGLC1","B naive","P1043MED",1
"IGHV1-18.IGHD2-8.IGHJ6.IGHM_NA","B naive","P1043MED",1
"IGHV1-18.IGHD3-10.IGHJ5.IGHA1_NA","B intermediate","P1043MED",1
"IGHV1-18.IGHD3-10.IGHJ6.IGHM_IGKV2D-28.IGKJ1.IGKC","B intermediate","P1043CD3",1
"IGHV1-18.IGHD3-16.IGHJ4.IGHM_NA","B memory","P1043MED",1
"IGHV1-18.IGHD3-3.IGHJ3.IGHM_IGKV1-17.IGKJ4.IGKC","B intermediate","JLKMED",1
"IGHV1-18.IGHD3-3.IGHJ4.IGHM_IGKV1-16.IGKJ3.IGKC","B naive","JLKMED",1
"IGHV1-18.IGHD3-3.IGHJ4.IGHM_NA","B naive","P1043MED",2
"IGHV1-18.IGHD3-3.IGHJ6.IGHM_NA","B naive","P1043MED",1
"IGHV1-18.IGHD3-3.IGHJ6.IGHM_NA","CD4 TCM","P1042CD3",1
"IGHV1-18.IGHD6-13.IGHJ5.IGHM_NA","B intermediate","P1043CD3",1
"IGHV1-18.IGHD6-19.IGHJ4.IGHM_IGKV4-1.IGKJ1.IGKC","B naive","P1043MED",1
"IGHV1-18.NA.IGHJ1.IGHM_NA","pDC","JLKMED",1
"IGHV1-18.NA.IGHJ3.IGHA1_IGKV2D-28.IGKJ2.IGKC","B intermediate","JLKMED",1
"IGHV1-18.NA.IGHJ3.IGHM_IGKV1-27.IGKJ4.IGKC","B memory","P1043CD3",1
"IGHV1-18.NA.IGHJ3.IGHM_IGKV4-1.IGKJ2.IGKC","B naive","JLKMED",1
"IGHV1-18.NA.IGHJ3.IGHM_IGKV4-1.IGKJ4.IGKC","B naive","P1043MED",1
"IGHV1-18.NA.IGHJ3.IGHM_NA","CD4 Proliferating","P1042CD3",1
"IGHV1-18.NA.IGHJ4.IGHA1_IGKV3-15.IGKJ1.IGKC","B intermediate","P1043CD3",1
"IGHV1-18.NA.IGHJ4.IGHD_IGKV3-20.IGKJ1.IGKC","B naive","P1043CD3",1
"IGHV1-18.NA.IGHJ4.IGHG2_NA","B intermediate","JLKMED",1
"IGHV1-18.NA.IGHJ4.IGHG3_IGKV3-11.IGKJ5.IGKC","B memory","P1043CD3",1
"IGHV1-18.NA.IGHJ4.IGHG3_NA","B intermediate","P1042MED",1
"IGHV1-18.NA.IGHJ4.IGHM_IGKV1-12.IGKJ3.IGKC","B naive","P1043MED",1
"IGHV1-18.NA.IGHJ4.IGHM_IGKV1-5.IGKJ1.IGKC","B naive","P1043MED",1
"IGHV1-18.NA.IGHJ4.IGHM_IGKV1-6.IGKJ1.IGKC","B intermediate","P1043CD3",1
"IGHV1-18.NA.IGHJ4.IGHM_IGKV1D-17.IGKJ4.IGKC","Plasmablast","P1043CD3",1
"IGHV1-18.NA.IGHJ4.IGHM_IGKV3-20.IGKJ1.IGKC","B intermediate","JLKMED",1
"IGHV1-18.NA.IGHJ4.IGHM_IGLV3-21.IGLJ7.IGLC2","B naive","P1043HIV",1
"IGHV1-18.NA.IGHJ4.IGHM_NA","B intermediate","JLKCD3",1
"IGHV1-18.NA.IGHJ4.IGHM_NA","B intermediate","P1043CD3",1
"IGHV1-18.NA.IGHJ4.IGHM_NA","B naive","P1042HIV",1
"IGHV1-18.NA.IGHJ4.IGHM_NA","B naive","P1042MED",1
"IGHV1-18.NA.IGHJ5.IGHG1_IGKV3-20.IGKJ4.IGKC","B intermediate","JLKMED",1
"IGHV1-18.NA.IGHJ5.IGHM_IGKV1D-39.IGKJ3.IGKC","B memory","P1043CD3",1
"IGHV1-18.NA.IGHJ5.IGHM_IGKV6-21.IGKJ1.IGKC","B naive","P1042MED",1
"IGHV1-18.NA.IGHJ5.IGHM_NA","B intermediate","P1043CD3",1
"IGHV1-18.NA.IGHJ6.IGHD_IGKV1D-39.IGKJ1.IGKC","B naive","P1042MED",1
"IGHV1-18.NA.IGHJ6.IGHM_IGKV1-33.IGKJ4.IGKC","B naive","P1043MED",1
"IGHV1-18.NA.IGHJ6.IGHM_IGKV1-5.IGKJ2.IGKC","B intermediate","JLKCD3",1
"IGHV1-18.NA.IGHJ6.IGHM_IGKV1D-39.IGKJ2.IGKC","B memory","P1043CD3",1
"IGHV1-18.NA.IGHJ6.IGHM_IGKV2-30.IGKJ4.IGKC","B naive","P1042MED",1
"IGHV1-18.NA.IGHJ6.IGHM_IGKV3-11.IGKJ3.IGKC","B naive","P1042MED",1
"IGHV1-18.NA.IGHJ6.IGHM_IGKV3-15.IGKJ5.IGKC","B memory","P1042CD3",1
"IGHV1-18.NA.IGHJ6.IGHM_IGKV3-20.IGKJ2.IGKC","B naive","P1042MED",1
"IGHV1-18.NA.IGHJ6.IGHM_IGLV5-45.IGLJ7.IGLC2","B intermediate","P1043HIV",1
"IGHV1-18.NA.IGHJ6.IGHM_NA","B naive","P1043MED",2
"IGHV1-18.NA.IGHJ6.IGHM_NA","Plasmablast","P1042CD3",1
"IGHV1-18.NA.IGHJ6.IGHM_NA","Plasmablast","P1043CD3",1
"IGHV1-18.NA.IGHJ6.IGHM_NA","cDC2","P1043CD3",1
"IGHV1-2.IGHD1-1.IGHJ3.IGHM_NA","B naive","P1042HIV",1
"IGHV1-2.IGHD2-15.IGHJ5.IGHM_IGKV3-15.IGKJ1.IGKC","B intermediate","P1043HIV",1
"IGHV1-2.IGHD2-15.IGHJ6.IGHM_IGKV1-5.IGKJ1.IGKC","B intermediate","P1043CD3",1
"IGHV1-2.IGHD2-15.IGHJ6.IGHM_NA","B intermediate","P1042HIV",1
"IGHV1-2.IGHD3-16.IGHJ3.IGHM_IGKV3-20.IGKJ2.IGKC","B naive","P1043HIV",1
